Track Name,Album Name,Album Release Date,Track Duration,Track Popularity,Track Streams
Rich Flex,Her Loss,04-11-22,239359,,
Major Distribution,Her Loss,04-11-22,170501,,
On BS,Her Loss,04-11-22,261543,,
BackOutsideBoyz,Her Loss,04-11-22,152961,,
Privileged Rappers,Her Loss,04-11-22,160821,,
Spin Bout U,Her Loss,04-11-22,214588,,
Hours In Silence,Her Loss,04-11-22,399153,,
Treacherous Twins,Her Loss,04-11-22,180098,,
Circo Loco,Her Loss,04-11-22,236795,,
Pussy & Millions (feat. Travis Scott),Her Loss,04-11-22,242026,,
Broke Boys,Her Loss,04-11-22,225439,,
Middle of the Ocean,Her Loss,04-11-22,356389,,
Jumbotron Shit Poppin,Her Loss,04-11-22,137151,,
More M’s,Her Loss,04-11-22,221406,,
3AM on Glenwood,Her Loss,04-11-22,178328,,
I Guess It’s Fuck Me,Her Loss,04-11-22,263987,,
Rich Flex,Her Loss,03-11-22,239359,,
Major Distribution,Her Loss,03-11-22,170501,,
On BS,Her Loss,03-11-22,261543,,
BackOutsideBoyz,Her Loss,03-11-22,152961,,
Privileged Rappers,Her Loss,03-11-22,160821,,
Spin Bout U,Her Loss,03-11-22,214588,,
Hours In Silence,Her Loss,03-11-22,399153,,
Treacherous Twins,Her Loss,03-11-22,180098,,
Circo Loco,Her Loss,03-11-22,236795,,
Pussy & Millions (feat. Travis Scott),Her Loss,03-11-22,242026,,
Broke Boys,Her Loss,03-11-22,225439,,
Middle of the Ocean,Her Loss,03-11-22,356389,,
Jumbotron Shit Poppin,Her Loss,03-11-22,137151,,
More M’s,Her Loss,03-11-22,221406,,
3AM on Glenwood,Her Loss,03-11-22,178328,,
I Guess It’s Fuck Me,Her Loss,03-11-22,263987,,
Purple Savage Mode II Intro [ChopNotSlop Remix],SAVAGE MODE II [CHOPPED NOT SLOPPED],19-10-20,121173,,
Many Men [ChopNotSlop Remix],SAVAGE MODE II [CHOPPED NOT SLOPPED],19-10-20,292594,,
Runnin [ChopNotSlop Remix],SAVAGE MODE II [CHOPPED NOT SLOPPED],19-10-20,303949,,
My Dawg [ChopNotSlop Remix],SAVAGE MODE II [CHOPPED NOT SLOPPED],19-10-20,233296,,
Snitches & Rats [ChopNotSlop Remix] (feat. Young Nudy),SAVAGE MODE II [CHOPPED NOT SLOPPED],19-10-20,296872,,
Glock In My Lap [ChopNotSlop Remix],SAVAGE MODE II [CHOPPED NOT SLOPPED],19-10-20,323395,,
Slidin [ChopNotSlop Remix],SAVAGE MODE II [CHOPPED NOT SLOPPED],19-10-20,223968,,
Brand New Draco [ChopNotSlop Remix],SAVAGE MODE II [CHOPPED NOT SLOPPED],19-10-20,247257,,
No Opp Left Behind [ChopNotSlop Remix],SAVAGE MODE II [CHOPPED NOT SLOPPED],19-10-20,241510,,
Steppin On Niggas [ChopNotSlop Remix],SAVAGE MODE II [CHOPPED NOT SLOPPED],19-10-20,227207,,
