ACT composite score,SAT total score,parental level of education, parental income ,high school gpa,college gpa,years to graduate
22,1625,high school," $40,999 ",3,3.1,7
29,2090,associate's degree," $75,817 ",4,3.4,5
30,2188,bachelor's degree," $82,888 ",4,3.9,3
33,2151,associate's degree," $93,518 ",4,3.7,5
29,2050,associate's degree," $79,153 ",4,3.4,6
28,1976,master's degree," $100,048 ",3.8,3.5,4
29,2097,some college," $46,883 ",4,3.4,6
30,1976,some college," $67,379 ",3.7,3.4,5
27,2072,bachelor's degree," $102,424 ",3.9,3.9,4
32,2246,bachelor's degree," $56,793 ",4,3.6,3
28,1956,associate's degree," $66,110 ",3.6,3.4,5
28,2006,some high school," $56,590 ",3.7,3.1,5
25,1868,bachelor's degree," $87,574 ",3.4,3.1,5
27,1955,some college," $75,111 ",3.4,3.3,6
27,1873,bachelor's degree," $93,342 ",3.5,3.7,3
31,2029,high school," $47,947 ",4,3.7,4
25,1779,associate's degree," $77,493 ",3.3,3.3,7
31,2110,some college," $65,866 ",4,3.5,4
27,1996,high school," $45,824 ",3.6,3.1,6
31,2156,bachelor's degree," $74,254 ",4,3.4,6
33,2234,high school," $71,657 ",4,3.9,3
24,1824,associate's degree," $72,319 ",3.3,3.2,6
26,1810,some college," $81,527 ",3.4,3.2,5
26,1914,some college," $64,410 ",3.6,3.5,3
25,1866,some college," $63,514 ",3.3,3.4,7
28,1928,high school," $54,938 ",3.6,3.3,4
25,1842,high school," $72,810 ",3.3,3.3,4
26,1846,associate's degree," $77,274 ",3.5,3.3,4
24,1800,some high school," $62,857 ",3.3,3.2,4
28,1952,bachelor's degree," $59,674 ",3.7,3.1,4
30,2080,master's degree," $96,140 ",4,3.9,4
26,1784,some college," $68,573 ",3.2,3.3,4
29,1913,some college," $75,011 ",3.6,3.3,4
31,2101,master's degree," $75,001 ",4,3.6,4
31,2028,high school," $55,451 ",3.9,3.2,5
24,1707,some college," $65,352 ",3.2,2.9,5
