Review,Rating Scale
"1. Portrait pic not good. As compare to  2. OPPO. Are net is working slow as compare to Vivo 17
3. Aap download is compratively slow .",3
Again best phone in this range but somehow if processor could be snapdragon 712 means better.this too not bad..camera not bad.overall good,5
amazing,5
Amazing cell phone micro camera is amazing,5
Amazing product with value for money,5
Awesome product 👍,5
Awesome......,5
Awsm,3
Bad,4
Battery back-up is not satisfactory. Media sound is very poor. Even the Camera is so exciting. Other features are okay.. Not extraordinary,3
Battery capacity is low. Since I am from using from 20 days daily I need to charge the mobile.,1
Battery is low,3
Best mob office & tour related,5
best phone,5
Best Price and Super phone on this Price,5
Best product,5
Best quality,5
Best vivo phone,5
"Brand new handset came with defect in sd card slot, checked and verified by Amazon technician. Awaiting a replacement",1
Camera not good as expected,1
Camera performance not good and waste of money,1
Camera quality,4
camera quality excellent...,5
Camera quality is not adequate as per expected. It's like 5 mp camera,1
camera quality is owsmmm,5
"Camera quality is poor. Amazon wont refund money once you order it,though u dont like the product or not satisfied. Amazon doesnt help u out in anynway",1
Camera quality worth,2
Camera super,5
"Camera, voice and sound quality is very good.",5
Charging is average.....if u use wifi it consumes more battery,5
Cost is very high but front camera standard is very bad I don't like the camera,3
Dislike,1
Dislike,3
Dont buy this device... It's so cheaper.,1
Don't by this phone West,1
"Don't suggest to buy....
Camera is third class
Smooth Speed on everag app is third class
Wast of money....",1
Every thing is fine and good,5
"Every thing is perfect. S Amoled screen, camera features, Jovi features, battery backup etc.

A bit over priced. Ideal price - upto17K max",4
"Everything is good,  but 18w dual engine fast charging mode not working properly.",4
Excellent,4
Excellent,5
Excellent mobile,5
Excellent mobile,5
Excellent phone,5
Excellent product,5
Face Recognizability is good.,5
"Fake reviews
Phone is just ""NEXT LEVEL""",5
Fantastic product at cheaper rate,5
Features nd the whole phone I like the most....,5
For the price this phone is selling only an idiot would buy this one. The processor is snapdragon 665 which is slow af compared to what other phones are offering these days,1
Front camera is not as good like 32 MP....it should be improve...back camera design should be improve,4
Function are good but but but but but camera function and quality is disappointing.,1
Good,4
Good,5
Good,4
Good,4
good,5
Good,5
Good,1
Good,5
Good,4
Good,5
Good,5
Good,5
Good,5
Good camera features,5
Good phone,5
Good phone in 2020 best camera and best performance,5
Good phone with always on display and in screen fingerprint,4
Good product,5
Good product,5
Good Product,4
Good product,3
Good product,5
Good product,4
Good product and good quality clear visibility and clear clarity,2
Good product battery backup very good,5
Good product but there is no difference in S1 and S1 pro other than the camera,3
Good smart fone with all the best fetures in it,5
"Got the phone yesterday,functioning is good but I am not able to access the front camera as it's showing another camera is broken can not switch.",3
Gud one,4
Headphone is not received with phone,1
"Hi Sir/Madam,
This is my first experience with Vivo products, I am not happy with the product cameras front and rear, when I snap pics of displays led Video walls both front and rear cameras are flickering it's not stable and clear, even in slow motion it's flickering.
Very bad experience.",1
High price,1
High price in this mobile,2
I got damaged piece but didn’t return,1
"I have purchase thus product by credit card with no cost emi, but till time not converted in emi.",4
I like,5
I like each and every feature of this mobile except selfie quality,4
I like it,5
I like it nice to have this mobile,5
"I like so much, better then others company mobile",5
I love this phone..... Stylish look..... Excellent battery capacity.... Great clarity of camera.... Good touch....good processor... etc.......... Aur kya chahye,5
"I start calling him on March 18, and on April 10, the phone lines the black line in the center of the display, all my hard earned money is lost, today I am paying this loan on the bank.",1
If there is any exchange i will do it this is worst phone i have ever seen I want to return it its very worst it is hanging much can't operate the mobile very very worst make it return as. As possible,1
"If you are looking for a fast processor and light weight phone than its a big no no.
My bad i purcahsed this phone, dont buy",2
