Track Name,Artist,Album,Duration,Release Date,Streams
エレン・イェーガーからのスペシャルメッセージ!,TVアニメ「進撃の巨人」,「進撃の巨人」エレン・イェーガーからのスペシャルメッセージ!,40.771,2023-02-15,44
Under the Tree,SiM,Under the Tree,121.692,2023-03-04,71
The Rumbling,SiM,The Rumbling,220.799,2022-02-07,71
Akuma no Ko,Higuchi Ai,Saiaku Saiai,229.96,2022-03-02,61
Footsteps of Doom,KOHTA YAMAMOTO,Attack On Titan The Final Season Original Soundtrack 02,306.373,2022-06-22,50
Ashes on The Fire -PTV-,KOHTA YAMAMOTO,Attack On Titan The Final Season Original Soundtrack 02,306.84,2022-06-22,46
Boku no Sensou,Shinsei Kamattechan,Boku no Sensou,280.466,2021-02-22,63
Shogeki,Yuko Ando,Shogeki,181.594,2020-12-07,57
Ashes on The Fire (Attack on Titan The Final Season Original Soundtrack),KOHTA YAMAMOTO,Ashes on The Fire (Attack on Titan The Final Season Original Soundtrack),274.133,2021-02-01,56
Guren no Yumiya,Linked Horizon,Shingeki no Kiseki,310.68,2017,65
ELO,Hiroyuki Sawano,Attack On Titan The Final Season Original Soundtrack 02,281.333,2022-06-22,41
YouSee-Power,Hiroyuki Sawano,Attack On Titan The Final Season Original Soundtrack 02,257.466,2022-06-22,41
attack ON taian [TFSv],Hiroyuki Sawano,Attack On Titan The Final Season Original Soundtrack 02,297.026,2022-06-22,46
The Other Side of the Sea,KOHTA YAMAMOTO,Attack on Titan The Final Season Original Soundtrack,297.493,2021-06-23,46
AOTF-s1,Hiroyuki Sawano,Attack on Titan The Final Season Original Soundtrack,477.48,2021-06-23,42
The Warriors,KOHTA YAMAMOTO,Attack on Titan The Final Season Original Soundtrack,246.413,2021-06-23,45
The Fall of Marley,KOHTA YAMAMOTO,Attack on Titan The Final Season Original Soundtrack,198.573,2021-06-23,42
Shoukei to Shikabane no Michi,Linked Horizon,Shinjitsu eno Shingeki,276.176,2019-07-03,56
Name of Love,cinema staff,Name of Love,266.68,2019-05-29,49
Zero Eclipse,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",253.893,2019-08-26,49
Call Your Name (Gv),Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",259.72,2019-08-26,48
Symphonicsuite (Aot) Part2-1st: Attack on Titan (Wmid),Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",310.693,2019-08-26,50
Symphonicsuite (Aot) Part2-2nd: Shingekinokyojin,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",182.333,2019-08-26,43
Symphonicsuite (Aot) Part2-3rd: Before Lights Out,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",175.56,2019-08-26,46
Symphonicsuite (Aot) Part2-5th: Apple Seed,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",166.853,2019-08-26,50
Symphonicsuite (Aot) Part2-6th: Thanksat,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",239.773,2019-08-26,45
Barricades - Movie Ver.,Hiroyuki Sawano,"""Attack on Titan"" Season 3 Original Soundtrack",257.653,2019-08-26,43
Great Escape - 2019 New Mix,cinema staff,Name of Love,201.866,2019-05-29,38
Red Swan,Yoshiki,Red Swan,263.72,2018-10-03,61
Akatsuki no Requiem,Linked Horizon,Rakuen Eno Shingeki,240.573,2018-10-03,52
Attack on Titan,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",256.92,2013,61
The Reluctant Heroes,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",267.12,2013,53
DOA,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",206.026,2013,49
E.M.A,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",342.88,2013,46
Call Your Name,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",268.333,2013,54
"Utsukushiki Zankokuna Sekai (From ""Attack on Titan"")",Yoko Hikasa,Couleur,293.706,2017-03-23,49
Rittaikidou,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",342.72,2013,47
Jiyuu no Tsubasa,Linked Horizon,Shingeki no Kiseki,331.946,2017,58
Bauklotze,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",236.253,2013,58
Vogel Im Kafig,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",380.053,2013,56
Eye-Water,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",181.413,2013,50
Counter Attack-Mankind,Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",366.586,2013,47
So Ist Es Immer,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",289.68,2017-06-07,47
Shinzo wo Sasageyo!,Linked Horizon,Shingeki no Kiseki,341.413,2017,66
Barricades,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",221.426,2017-06-07,57
You See Big Girl / T:T,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",359.346,2017-06-07,60
Call of Silence,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",178.213,2017-06-07,58
Attack on D,Hiroyuki Sawano,"TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",284.333,2017-06-07,47
夕暮れの鳥,Shinsei Kamattechan,夕暮れの鳥/光の言葉,304.266,2017-05-24,26
