Track Name,Album Name,Album Release Date,Track Duration,Track Popularity,Track Streams
Godzilla (feat. Juice WRLD),Curtain Call 2,2022-08-05,210800
Lucky You (feat. Joyner Lucas),Curtain Call 2,2022-08-05,246000
Lighters,Curtain Call 2,2022-08-05,303800
Gnat,Curtain Call 2,2022-08-05,230620
Cinderella Man,Curtain Call 2,2022-08-05,279002
Walk On Water (feat. Beyoncé),Curtain Call 2,2022-08-05,297864
Rap God,Curtain Call 2,2022-08-05,363521
Love The Way You Lie (feat. Rihanna),Curtain Call 2,2022-08-05,263321
Won't Back Down (feat. P!nk),Curtain Call 2,2022-08-05,265916
Higher,Curtain Call 2,2022-08-05,223491
Berzerk,Curtain Call 2,2022-08-05,237225
Not Afraid,Curtain Call 2,2022-08-05,249266
From The D 2 The LBC (with Snoop Dogg),Curtain Call 2,2022-08-05,213745
Nowhere Fast (feat. Kehlani),Curtain Call 2,2022-08-05,264275
Fall,Curtain Call 2,2022-08-05,262864
Phenomenal,Curtain Call 2,2022-08-05,281156
Fast Lane,Curtain Call 2,2022-08-05,249680
You’re Never Over,Curtain Call 2,2022-08-05,305680
3 a.m.,Curtain Call 2,2022-08-05,319906
Space Bound,Curtain Call 2,2022-08-05,278133
Beautiful,Curtain Call 2,2022-08-05,392813
The Monster (feat. Rihanna),Curtain Call 2,2022-08-05,250160
Venom - Music From The Motion Picture,Curtain Call 2,2022-08-05,264733
Crack A Bottle (feat. Dr. Dre & 50 Cent),Curtain Call 2,2022-08-05,297173
Is This Love ('09) (feat. 50 Cent),Curtain Call 2,2022-08-05,212013
River (feat. Ed Sheeran),Curtain Call 2,2022-08-05,223733
Survival,Curtain Call 2,2022-08-05,271933
Best Friend,Curtain Call 2,2022-08-05,310560
Darkness,Curtain Call 2,2022-08-05,338493
Kings Never Die (feat. Gwen Stefani),Curtain Call 2,2022-08-05,297013
No Love (feat. Lil Wayne),Curtain Call 2,2022-08-05,299480
Headlights (feat. Nate Ruess),Curtain Call 2,2022-08-05,343000
The King and I (feat. CeeLo Green) - From the Original Motion Picture Soundtrack ELVIS,Curtain Call 2,2022-08-05,192186
Farewell,Curtain Call 2,2022-08-05,252360
Rap God - Mr. Cii Remix,Curtain Call 2,2022-08-05,375983
Godzilla (feat. Juice WRLD),Curtain Call 2,2022-08-05,210800
Lucky You (feat. Joyner Lucas),Curtain Call 2,2022-08-05,245974
Lighters,Curtain Call 2,2022-08-05,303800
Gnat,Curtain Call 2,2022-08-05,230620
Cinderella Man,Curtain Call 2,2022-08-05,279002
Walk On Water (feat. Beyoncé),Curtain Call 2,2022-08-05,297864
Rap God,Curtain Call 2,2022-08-05,363521
Love The Way You Lie (feat. Rihanna),Curtain Call 2,2022-08-05,263321
Won't Back Down (feat. P!nk),Curtain Call 2,2022-08-05,265916
Higher,Curtain Call 2,2022-08-05,223487
Berzerk,Curtain Call 2,2022-08-05,237225
Not Afraid,Curtain Call 2,2022-08-05,249266
From The D 2 The LBC (with Snoop Dogg),Curtain Call 2,2022-08-05,213745
Nowhere Fast (feat. Kehlani),Curtain Call 2,2022-08-05,264275
Fall,Curtain Call 2,2022-08-05,262864
Phenomenal,Curtain Call 2,2022-08-05,281156
Fast Lane,Curtain Call 2,2022-08-05,249680
You’re Never Over,Curtain Call 2,2022-08-05,305680
3 a.m.,Curtain Call 2,2022-08-05,319773
Space Bound,Curtain Call 2,2022-08-05,278133
Beautiful,Curtain Call 2,2022-08-05,392813
The Monster (feat. Rihanna),Curtain Call 2,2022-08-05,250160
Venom - Music From The Motion Picture,Curtain Call 2,2022-08-05,264746
Crack A Bottle (feat. Dr. Dre & 50 Cent),Curtain Call 2,2022-08-05,297160
Is This Love ('09) (feat. 50 Cent),Curtain Call 2,2022-08-05,212013
River (feat. Ed Sheeran),Curtain Call 2,2022-08-05,223733
Survival,Curtain Call 2,2022-08-05,271933
Best Friend,Curtain Call 2,2022-08-05,310573
Darkness,Curtain Call 2,2022-08-05,338493
Kings Never Die (feat. Gwen Stefani),Curtain Call 2,2022-08-05,297000
No Love (feat. Lil Wayne),Curtain Call 2,2022-08-05,299480
Headlights (feat. Nate Ruess),Curtain Call 2,2022-08-05,343013
The King and I (feat. CeeLo Green) - From the Original Motion Picture Soundtrack ELVIS,Curtain Call 2,2022-08-05,192173
Farewell,Curtain Call 2,2022-08-05,252093
Rap God - Mr. Cii Remix,Curtain Call 2,2022-08-05,375983
Curtains Up - Skit,The Eminem Show (Expanded Edition),2022-05-26,29826
White America,The Eminem Show (Expanded Edition),2022-05-26,324546
Business,The Eminem Show (Expanded Edition),2022-05-26,251720
Cleanin' Out My Closet,The Eminem Show (Expanded Edition),2022-05-26,297840
Square Dance,The Eminem Show (Expanded Edition),2022-05-26,323720
The Kiss - Skit,The Eminem Show (Expanded Edition),2022-05-26,75920
Soldier,The Eminem Show (Expanded Edition),2022-05-26,226213
Say Goodbye Hollywood,The Eminem Show (Expanded Edition),2022-05-26,272840
Drips,The Eminem Show (Expanded Edition),2022-05-26,285640
Without Me,The Eminem Show (Expanded Edition),2022-05-26,290320
Paul Rosenberg - Skit,The Eminem Show (Expanded Edition),2022-05-26,22746
Sing For The Moment,The Eminem Show (Expanded Edition),2022-05-26,339546
Superman,The Eminem Show (Expanded Edition),2022-05-26,350320
Hailie's Song,The Eminem Show (Expanded Edition),2022-05-26,320640
Steve Berman - Skit,The Eminem Show (Expanded Edition),2022-05-26,33106
When The Music Stops,The Eminem Show (Expanded Edition),2022-05-26,269013
Say What You Say,The Eminem Show (Expanded Edition),2022-05-26,309893
Till I Collapse,The Eminem Show (Expanded Edition),2022-05-26,297786
My Dad's Gone Crazy,The Eminem Show (Expanded Edition),2022-05-26,267013
