Track Name,Album Name,Album Release Date,Track Duration,Track Popularity,Track Streams
Stick (with JID & J. Cole feat. Kenny Mason & Sheck Wes),D-Day: A Gangsta Grillz Mixtape,31-03-22,309322,,
Ghetto Gods Freestyle (with EARTHGANG feat. 2 Chainz),D-Day: A Gangsta Grillz Mixtape,31-03-22,173589,,
Lifestyle (with Bas feat. A$AP Ferg),D-Day: A Gangsta Grillz Mixtape,31-03-22,166775,,
"Starting 5 (with Lute, Cozz & Omen)",D-Day: A Gangsta Grillz Mixtape,31-03-22,270044,,
Coming Down (with Ari Lennox),D-Day: A Gangsta Grillz Mixtape,31-03-22,156943,,
Hair Salon (with Cozz feat. G Perico & Reason),D-Day: A Gangsta Grillz Mixtape,31-03-22,193573,,
Freedom of Speech (with J. Cole),D-Day: A Gangsta Grillz Mixtape,31-03-22,131909,,
Blackberry Sap (with Ari Lennox),D-Day: A Gangsta Grillz Mixtape,31-03-22,149738,,
Like Wine (with Lute),D-Day: A Gangsta Grillz Mixtape,31-03-22,155192,,
Jozi Flows (with Bas & EARTHGANG),D-Day: A Gangsta Grillz Mixtape,31-03-22,175778,,
Barry From Simpson (with JID feat. 2 Chainz & Young Nudy),D-Day: A Gangsta Grillz Mixtape,31-03-22,197535,,
Everybody Ain’t Shit (with EARTHGANG),D-Day: A Gangsta Grillz Mixtape,31-03-22,203419,,
Ballin in Newport (with Omen),D-Day: A Gangsta Grillz Mixtape,31-03-22,212800,,
Big Trouble Freestyle (with Cozz),D-Day: A Gangsta Grillz Mixtape,31-03-22,163149,,
Heaven’s EP (with J. Cole),D-Day: A Gangsta Grillz Mixtape,31-03-22,178291,,
Stick (with JID & J. Cole feat. Kenny Mason & Sheck Wes),D-Day: A Gangsta Grillz Mixtape,30-03-22,309322,,
Ghetto Gods Freestyle (with EARTHGANG feat. 2 Chainz),D-Day: A Gangsta Grillz Mixtape,30-03-22,173589,,
Lifestyle (with Bas feat. A$AP Ferg),D-Day: A Gangsta Grillz Mixtape,30-03-22,166775,,
"Starting 5 (with Lute, Cozz & Omen)",D-Day: A Gangsta Grillz Mixtape,30-03-22,270044,,
Coming Down (with Ari Lennox),D-Day: A Gangsta Grillz Mixtape,30-03-22,156943,,
Hair Salon (with Cozz feat. G Perico & Reason),D-Day: A Gangsta Grillz Mixtape,30-03-22,193573,,
Freedom of Speech (with J. Cole),D-Day: A Gangsta Grillz Mixtape,30-03-22,131909,,
Blackberry Sap (with Ari Lennox),D-Day: A Gangsta Grillz Mixtape,30-03-22,149738,,
Like Wine (with Lute),D-Day: A Gangsta Grillz Mixtape,30-03-22,155192,,
